Date,PartNum,Description,Price
02/05/2020,M120XWV2,Elite Screens Manual Series Projection Screen (72 x 96"),$139.99
02/14/2020,960-001054,Logitech GROUP Videoconferencing System,$1089.10
02/19/2020,C2P05AN,HP 62XL | Ink Cartridge | Black,$39.49
02/21/2020,V11H690020,Epson High Definition LCD Projector PowerLite W29 White,$547.73
