Date,PartNum,Description,Price
03/15/2020,DSC-W830,Sony DSCW830/B 20.1 MP Digital Camera with 2.7-Inch LCD (Black),$187.77
03/16/2020,DWT4585X,Tripp Lite Tilt Wall Mount for 45" to 85" TVs Monitors Flat Screens,$76.50
03/25/2020,M120XWV2,Elite Screens Manual Series Projection Screen (72 x 96"),$141.82
03/30/2020,WDBUZG5000ABK,Western Digital WD 500GB 2.5 USB Elements Portable WDBUZG5000ABK-WESN (Elements Portable Black),$59.99
